"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"100","12",24,0,0.00657152698137015,0.00453073726131951,3,37.25,1,1,3652.11922100273,0,3652.11922100273,1,1,"FV1 vs FV2"
"105","12",4,9,0.00657152698137015,0.00453073726131951,3,37.25,1,1,608.686536833789,1986.43167345768,2595.11821029147,0.234550601363714,1,"FV1 vs FV2"
"110","12",2,8,0.00657152698137015,0.00453073726131951,3,37.25,1,1,304.343268416894,1765.7170430735,2070.06031149039,0.14702144991987,1,"FV1 vs FV2"
"115","12",9,7,0.00657152698137015,0.00453073726131951,3,37.25,1,1,1369.54470787603,1545.00241268931,2914.54712056533,0.469899662356591,1,"FV1 vs FV2"
"120","12",4,5,0.00657152698137015,0.00453073726131951,3,37.25,1,1,608.686536833789,1103.57315192094,1712.25968875472,0.355487278495979,1,"FV1 vs FV2"
"125","12",4,5,0.00657152698137015,0.00453073726131951,3,37.25,1,1,608.686536833789,1103.57315192094,1712.25968875472,0.355487278495979,1,"FV1 vs FV2"
"130","12",0,6,0.00657152698137015,0.00453073726131951,3,37.25,1,1,0,1324.28778230512,1324.28778230512,0,1,"FV1 vs FV2"
"135","12",0,1,0.00657152698137015,0.00453073726131951,3,37.25,1,1,0,220.714630384187,220.714630384187,0,1,"FV1 vs FV2"
"140","12",0,1,0.00657152698137015,0.00453073726131951,3,37.25,1,1,0,220.714630384187,220.714630384187,0,1,"FV1 vs FV2"
"90","28",6,1,0.00620164536479876,0.00472747436211009,3,38,1,1,967.485182893024,211.529439062606,1179.01462195563,0.820587942572127,1,"FV1 vs FV2"
"95","28",15,8,0.00620164536479876,0.00472747436211009,3,38,1,1,2418.71295723256,1692.23551250085,4110.94846973341,0.588358860501458,1,"FV1 vs FV2"
"100","28",10,12,0.00620164536479876,0.00472747436211009,3,38,1,1,1612.47530482171,2538.35326875127,4150.82857357298,0.3884707056051,1,"FV1 vs FV2"
"105","28",3,4,0.00620164536479876,0.00472747436211009,3,38,1,1,483.742591446512,846.117756250425,1329.86034769694,0.363754429015243,1,"FV1 vs FV2"
"110","28",0,6,0.00620164536479876,0.00472747436211009,3,38,1,1,0,1269.17663437564,1269.17663437564,0,1,"FV1 vs FV2"
"115","28",2,1,0.00620164536479876,0.00472747436211009,3,38,1,1,322.495060964341,211.529439062606,534.024500026948,0.603895628286844,1,"FV1 vs FV2"
"120","28",2,4,0.00620164536479876,0.00472747436211009,3,38,1,1,322.495060964341,846.117756250425,1168.61281721477,0.275963994416017,1,"FV1 vs FV2"
"125","28",3,7,0.00620164536479876,0.00472747436211009,3,38,1,1,483.742591446512,1480.70607343824,1964.44866488476,0.246248527687992,1,"FV1 vs FV2"
"130","28",0,3,0.00620164536479876,0.00472747436211009,3,38,1,1,0,634.588317187818,634.588317187818,0,1,"FV1 vs FV2"
"135","28",1,0,0.00620164536479876,0.00472747436211009,3,38,1,1,161.247530482171,0,161.247530482171,1,1,"FV1 vs FV2"
"140","28",0,5,0.00620164536479876,0.00472747436211009,3,38,1,1,0,1057.64719531303,1057.64719531303,0,1,"FV1 vs FV2"
"85","48",1,0,0.0045570984078346,0.00459556644047346,3,35.15,1,1,219.437877022974,0,219.437877022974,1,1,"FV1 vs FV2"
"90","48",5,4,0.0045570984078346,0.00459556644047346,3,35.15,1,1,1097.18938511487,870.404127937686,1967.59351305256,0.557630108981541,1,"FV1 vs FV2"
"95","48",5,14,0.0045570984078346,0.00459556644047346,3,35.15,1,1,1097.18938511487,3046.4144477819,4143.60383289677,0.264791092334672,1,"FV1 vs FV2"
"100","48",11,11,0.0045570984078346,0.00459556644047346,3,35.15,1,1,2413.81664725271,2393.61135182864,4807.42799908135,0.502101466254715,1,"FV1 vs FV2"
"105","48",0,6,0.0045570984078346,0.00459556644047346,3,35.15,1,1,0,1305.60619190653,1305.60619190653,0,1,"FV1 vs FV2"
"110","48",2,3,0.0045570984078346,0.00459556644047346,3,35.15,1,1,438.875754045948,652.803095953264,1091.67884999921,0.402019104836798,1,"FV1 vs FV2"
"115","48",1,7,0.0045570984078346,0.00459556644047346,3,35.15,1,1,219.437877022974,1523.20722389095,1742.64510091392,0.125922298756006,1,"FV1 vs FV2"
"120","48",4,6,0.0045570984078346,0.00459556644047346,3,35.15,1,1,877.751508091896,1305.60619190653,2183.35769999842,0.402019104836798,1,"FV1 vs FV2"
"125","48",1,12,0.0045570984078346,0.00459556644047346,3,35.15,1,1,219.437877022974,2611.21238381306,2830.65026083603,0.0775220733055744,1,"FV1 vs FV2"
"130","48",1,5,0.0045570984078346,0.00459556644047346,3,35.15,1,1,219.437877022974,1088.00515992211,1307.44303694508,0.16783742834082,1,"FV1 vs FV2"
"135","48",0,2,0.0045570984078346,0.00459556644047346,3,35.15,1,1,0,435.202063968843,435.202063968843,0,1,"FV1 vs FV2"
"145","48",0,2,0.0045570984078346,0.00459556644047346,3,35.15,1,1,0,435.202063968843,435.202063968843,0,1,"FV1 vs FV2"
