"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
145,"24",1,0,0.00585137910923404,0.00486817206534543,2,45.6,1,1,170.899882118714,0,170.899882118714,1,1,"FV1 vs FV2",17.0899882118714,1.72384089893831,1.07054237969213,7.47692682571808
90,"2",1,1,0.00867433979646673,0.00435847297569967,2,38.7,1,1,115.282548696942,229.438155421732,344.720704118675,0.334423048339025,1,"FV1 vs FV2",34.4720704118675,-1.33199241639762,-0.0199211297102876,-0.864307747526865
95,"2",1,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,115.282548696942,1606.06708795213,1721.34963664907,0.0669721863835644,1,"FV1 vs FV2",172.134963664907,-1.05418938773072,-0.0199211297102876,-10.1421209354888
100,"2",4,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,461.130194787769,1606.06708795213,2067.19728273989,0.22307024038682,1,"FV1 vs FV2",206.719728273989,-0.776386359063818,-0.0199211297102876,-5.50298168721557
105,"2",2,3,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,688.314466265197,918.879563659081,0.250919822915365,1,"FV1 vs FV2",91.8879563659081,-0.498583330396915,-0.0199211297102876,-3.03381156291916
110,"2",4,9,0.00867433979646673,0.00435847297569967,2,38.7,1,1,461.130194787769,2064.94339879559,2526.07359358336,0.182548202854863,1,"FV1 vs FV2",252.607359358336,-0.220780301730012,-0.0199211297102876,-7.32744486352522
115,"2",6,10,0.00867433979646673,0.00435847297569967,2,38.7,1,1,691.695292181653,2294.38155421732,2986.07684639898,0.231640151195638,1,"FV1 vs FV2",298.607684639898,0.0570227269368907,-0.0199211297102876,-5.71406002701675
120,"2",8,19,0.00867433979646673,0.00435847297569967,2,38.7,1,1,922.260389575538,4359.32495301291,5281.58534258845,0.17461809849759,1,"FV1 vs FV2",528.158534258845,0.334825755603794,-0.0199211297102876,-9.94400614333556
125,"2",2,14,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,3212.13417590425,3442.69927329814,0.0669721863835644,1,"FV1 vs FV2",344.269927329814,0.612628784270697,-0.0199211297102876,-12.5065647265524
130,"2",2,7,0.00867433979646673,0.00435847297569967,2,38.7,1,1,230.565097393884,1606.06708795213,1836.63218534601,0.125536892598039,1,"FV1 vs FV2",183.663218534601,0.8904318129376,-0.0199211297102876,-6.17591765440549
